latitude,longitude,resolved_locality
21.42885,91.97786,Hotel Motel Zone
21.42107,91.98252,Hotel Motel Zone
21.42349,91.97951,Hotel Motel Zone
21.4263,91.9763,Hotel Motel Zone
21.42404,91.9817,Hotel Motel Zone
21.42521,91.97844,Hotel Motel Zone
21.41748,91.98631,Hotel Motel Zone
21.42397,91.98063,Hotel Motel Zone
21.42328,91.98273,Hotel Motel Zone
21.4021,91.9943,Hotel Motel Zone
21.42654,91.97591,Hotel Motel Zone
21.44113,91.97136,Hotel Motel Zone
21.44601,91.97554,Cox's Bazar Sadar Upazila
21.2309,92.05471,Ukhia Upazila
21.42698,91.98015,Hotel Motel Zone
21.3225,92.0375,Ramu Upazila
21.42832,91.97938,Hotel Motel Zone
21.41597,91.9845,Hotel Motel Zone
21.42362,91.98131,Hotel Motel Zone
21.42481,91.98031,Hotel Motel Zone
21.4155,91.98652,Hotel Motel Zone
21.42224,91.98055,Hotel Motel Zone
21.41717,91.98519,Hotel Motel Zone
21.42632,91.97848,Hotel Motel Zone
21.4261,91.976,Hotel Motel Zone
21.42843,91.9778,Hotel Motel Zone
21.42447,91.98125,Hotel Motel Zone
21.42624,91.97739,Hotel Motel Zone
21.42542,91.97853,Hotel Motel Zone
21.42548,91.97827,Hotel Motel Zone
21.426,91.9762,Hotel Motel Zone
21.42346,91.98326,Hotel Motel Zone
21.42314,91.98152,Hotel Motel Zone
21.42356,91.97936,Hotel Motel Zone
21.42683,91.98023,Hotel Motel Zone
21.4272,92.0058,Cox's Bazar Sadar Upazila
21.42868,91.97976,Hotel Motel Zone
21.4266,91.97797,Hotel Motel Zone
21.42259,91.98136,Hotel Motel Zone
21.4263,91.9759,Hotel Motel Zone
21.42463,91.97931,Hotel Motel Zone
21.4262,91.9762,Hotel Motel Zone
21.42661,91.97819,Hotel Motel Zone
21.42354,91.97941,Hotel Motel Zone
23.86491,90.38731,Uttara
23.8651,90.4006,Sector 4
23.876673,90.379283,Nalbhog
23.8703,90.3914,Uttara
23.8641,90.3966,Uttara
21.42403,91.9798,Hotel Motel Zone
21.42256,91.97963,Hotel Motel Zone
21.42274,91.98167,Hotel Motel Zone
21.4261,91.9763,Hotel Motel Zone
21.42316,91.98039,Hotel Motel Zone
21.42638,91.97972,Hotel Motel Zone
21.42281,91.98168,Hotel Motel Zone
21.42251,91.98127,Hotel Motel Zone
21.41713,91.98486,Hotel Motel Zone
21.41505,91.98502,Hotel Motel Zone
21.42505,91.97848,Hotel Motel Zone
21.42269,91.98097,Hotel Motel Zone
21.4262,91.976,Hotel Motel Zone
21.42627,91.97927,Hotel Motel Zone
21.42051,91.98416,Hotel Motel Zone
21.42707,91.97915,Hotel Motel Zone
21.42335,91.9811,Hotel Motel Zone
21.42233,91.98135,Hotel Motel Zone
21.4262,91.9759,Hotel Motel Zone
21.42538,91.97792,Hotel Motel Zone
21.42352,91.98062,Hotel Motel Zone
21.4265,91.97796,Hotel Motel Zone
21.4261,91.9762,Hotel Motel Zone
21.4257,91.9762,Hotel Motel Zone
21.42483,91.97943,Hotel Motel Zone
21.42339,91.98082,Hotel Motel Zone
21.42722,91.97779,Hotel Motel Zone
21.4269,91.97952,Hotel Motel Zone
21.42321,91.98112,Hotel Motel Zone
21.4219,91.98264,Hotel Motel Zone
21.4233,91.98092,Hotel Motel Zone
21.42502,91.97937,Hotel Motel Zone
21.4262,91.9761,Hotel Motel Zone
21.42512,91.97908,Hotel Motel Zone
21.42821,91.9786,Hotel Motel Zone
21.4235,91.97968,Hotel Motel Zone
21.4263,91.9762,Hotel Motel Zone
21.4259,91.9761,Hotel Motel Zone
21.42268,91.9815,Hotel Motel Zone
21.42703,91.97778,Hotel Motel Zone
21.42436,91.98163,Hotel Motel Zone
21.42763,91.97873,Hotel Motel Zone
21.42315,91.98164,Hotel Motel Zone
21.42865,91.97832,Hotel Motel Zone
23.877352,90.369858,Diabari
23.8702,90.3914,Uttara
23.87177,90.38143,Nalbhog
23.866,90.3679,Diabari
23.87373,90.38265,Nalbhog
21.42501,91.9798,Hotel Motel Zone
21.42739,91.97994,Hotel Motel Zone
21.4284,91.97847,Hotel Motel Zone
21.42437,91.98117,Hotel Motel Zone
21.42431,91.97977,Hotel Motel Zone
21.42493,91.98051,Hotel Motel Zone
21.42332,91.981,Hotel Motel Zone
21.41932,91.98276,Hotel Motel Zone
21.426,91.976,Hotel Motel Zone
21.42263,91.98039,Hotel Motel Zone
21.42426,91.98033,Hotel Motel Zone
21.42363,91.9797,Hotel Motel Zone
21.42155,91.9832,Hotel Motel Zone
23.46341,91.17464,Jhautola
23.46622,91.17837,Jhautola
23.4634,91.182,Kandirpar
23.45048,91.17917,Kandirpar
23.52334,91.04918,
23.468,91.1524,Shashongachha
23.44887,91.17915,Chartha
23.434932,91.107917,Madinagar
23.44995,91.17948,Chartha
23.44899,91.17953,Chartha
23.44995,91.17797,Chartha
23.44931,91.17792,Chartha
23.45092,91.17936,Kandirpar
23.01945,91.38813,
22.836,91.242,
22.8246,91.1017,Sonapur
22.77829,91.57213,
22.87213,91.09845,
23.2456,91.28387,
23.28271,91.12325,
22.62438,91.66615,
23.0212,91.09185,
25.3786,88.9945,
25.3631,89.003,
23.978958,91.102848,
24.675,91.778,
24.3212,91.7371,
23.878375,90.387102,Nalbhog
23.855677,90.383606,Baunia
23.862907,90.392767,Uttara
23.876118,90.395216,Uttara
23.86477,90.40086,Sector 4
24.48733,91.7624,
24.31011,91.73486,
24.674623,91.778238,
23.16544,89.22173,দড়াটানা
23.16507,89.21726,দড়াটানা
23.17004,89.51338,
23.16127,89.20903,দড়াটানা
23.1542,89.1962,Chachra
23.154753,89.197353,Chachra
23.1504,89.2217,Murli
23.17458,89.21155,নিউ মার্কেট
23.17475,89.20988,দড়াটানা
23.16412,89.20993,দড়াটানা
23.1648,89.2107,দড়াটানা
25.25524,89.24141,
25.25473,89.24125,
22.80688,89.576478,Tootpara
22.8075,89.5476,Arambagh
22.81923,89.54771,Goborchaka
22.8189,89.5421,Pabla
22.80615,89.54297,Banorgati
22.82278,89.54021,Sonadanga
22.8072,89.55053,Arambagh
22.531039,89.589444,Digraj
24.41829,91.06203,
24.20732,90.44895,
24.054,90.9812,
23.862513,90.391008,Uttara
23.872003,90.385065,Uttara
23.86981,90.39478,Uttara
23.8669,90.3981,Uttara
23.866826,90.389451,Uttara
25.5776,89.8355,
22.9073,89.8985,
25.09859,89.03448,
24.850022,89.378253,Natai Para
24.9702,88.4824,
25.25289,89.2477,
24.845,89.3679,Seujgari
23.9337,90.71311,
23.9275,90.7038,
23.81801,90.43618,Bashundhara Residential Area
23.819459,90.426657,Kuril
24.07386,90.72435,
23.984813,90.658654,
23.871,90.384,Uttara
23.6222,90.5706,
23.8367,90.4855,Sector 1
23.819118,90.42685,Kuril
23.608146,90.48841,
23.9793,90.5438,
23.8173,90.4354,Bashundhara Residential Area
23.875979,90.380713,Nalbhog
23.94817,90.45835,Joydebpur
23.87105,90.38292,Nalbhog
23.888,90.3748,Dhour
23.9621,90.549,
23.81975,90.42992,Bashundhara Residential Area
23.8709,90.382,Nalbhog
23.7136,90.3426,
23.8249,90.4352,Bashundhara Residential Area
23.8291,90.4186,Khilkhet
23.81141,90.42892,Solmaid
23.7848,90.397,Mohakhali
23.86728,90.39122,Uttara
23.8763,90.3886,Uttara
23.8753,90.3834,Nalbhog
23.8727,90.40447,Sector 6
23.86296,90.39618,Uttara
23.857183,90.355249,Mirpur Cantonment
23.71658,90.38855,Lalbag
23.85831,90.3553,Diabari
25.498272,88.958623,
25.75673,89.23244,
25.75893,89.25275,
25.750109,89.243318,
25.744582,89.274427,
25.75146,89.2668,
25.51453,89.03717,
23.90729,89.1362,
24.13322,89.58566,Baghabari
24.1288,89.07735,
23.8626,90.39106,Uttara
23.86884,90.39398,Uttara
23.86243,90.39754,Uttara
23.8578,90.3548,Diabari
23.863433,90.395232,Uttara
23.87094,90.39031,Uttara
23.8698,90.37952,Nalbhog
23.86379,90.3869,Uttara
23.8724,90.3903,Uttara
23.86335,90.38531,Uttara
23.849691,90.376608,Baunia
22.3548,90.602,
22.703678,90.370602,
22.65226,90.26108,
22.6776,90.6429,
22.69504,90.3618,
22.778333,89.724451,
22.59,89.8484,
22.702143,90.371497,
21.81805,90.12149,
24.77814,90.36833,
24.69814,90.43341,
24.7571,90.4012,
24.757807,90.394817,
24.757011,90.394424,
24.76389,90.25014,
24.752948,90.406586,
24.756289,90.394372,
24.7574,90.3939,
24.756345,90.394433,
24.75627,90.394926,
24.758509,90.393363,
24.757177,90.394541,
24.758016,90.393486,
24.757694,90.39289,
24.8885,90.7156,
24.87191,90.72755,
24.8451,90.7311,
24.87272,90.71964,চল্লিশা
24.86086,90.73154,
25.329,89.5415,
25.3092,89.5427,
25.309,89.5427,
25.3092,89.5426,
25.3091,89.5426,
25.309,89.5425,
25.3088,89.5426,
25.3097,89.5427,
24.7006,88.6778,
24.8764,91.8566,South Surma
24.931307,91.866998,
24.80681,91.85716,
24.87448,92.039797,
24.95306,91.8635,
24.85842,92.01461,
24.8863,91.8846,Tilagar
24.9022,91.8877,Tilagar
24.8867,91.882,Tilagar
24.88877,91.88613,Tilagar
24.88506,91.88044,Tilagar
24.8859,91.88596,Tilagar
24.898,91.8944,Tilagar
24.9359,91.9835,
24.90402,91.87589,South Surma
24.90274,91.85956,South Surma
24.8958,91.859,South Surma
24.90006,91.91601,Tilagar
24.90461,91.90887,Tilagar
24.88895,91.89411,Tilagar
24.90795,91.85663,South Surma
24.891638,91.887354,Tilagar
24.89397,91.88825,Tilagar
24.8879,91.8873,Tilagar
24.90467,91.90884,Tilagar
24.89508,91.86758,South Surma
24.90388,91.86793,South Surma
24.91228,91.8725,South Surma
24.895726,91.872706,South Surma
24.90333,91.90632,Tilagar
24.8154,92.0236,
24.9077,91.8559,South Surma
24.886,91.8859,Tilagar
24.9542,91.8609,
24.88884,91.88527,Tilagar
24.8951,91.8688,South Surma
24.9555,91.8549,
24.931992,91.980894,
