location,listing_link,base_urls
Gulshan,https://www.airbnb.com/rooms/1170969215290130126?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718222809_P3hFZt7GRAyHVx_P&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/1170969215290130126
Gulshan,https://www.airbnb.com/rooms/985940895727706429?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222809_P3s2d40u13LPJz2f&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/985940895727706429
Gulshan,https://www.airbnb.com/rooms/905821479821938742?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222809_P3Ko7sgaJfExKUZm&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/905821479821938742
Gulshan,https://www.airbnb.com/rooms/821748157801522418?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222811_P3BcVHPFkjlybXX3&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/821748157801522418
Gulshan,https://www.airbnb.com/rooms/616425058847603497?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-25&check_out=2024-06-30&source_impression_id=p3_1718222811_P3gH4gtKTRqr84Ka&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/616425058847603497
Gulshan,https://www.airbnb.com/rooms/52890086?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-25&check_out=2024-06-30&source_impression_id=p3_1718222811_P3KmeQoVWNGCGIrA&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/52890086
Gulshan,https://www.airbnb.com/rooms/953118838304144530?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1714976538&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222811_P3BRFXASKIEpCUUW&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/953118838304144530
Gulshan,https://www.airbnb.com/rooms/1174114559039640757?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1925625177&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222811_P3W_f63T7vQsFUYL&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/1174114559039640757
Gulshan,https://www.airbnb.com/rooms/1155397329817800428?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718222811_P3yd-KAFuSSe6-eJ&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/1155397329817800428
Gulshan,https://www.airbnb.com/rooms/1033818198116017726?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222811_P3IPA0YWqphbvFRS&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/1033818198116017726
Gulshan,https://www.airbnb.com/rooms/18838658?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222811_P3ZMiIZ4Q1ClGkbc&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/18838658
Gulshan,https://www.airbnb.com/rooms/1076630831091110449?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1827911204&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718222811_P3_OK3LFKq7gG5lN&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/1076630831091110449
Gulshan,https://www.airbnb.com/rooms/1129074960152797832?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-28&check_out=2024-08-02&source_impression_id=p3_1718222811_P3jh1h0K5rwU309D&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/1129074960152797832
Gulshan,https://www.airbnb.com/rooms/776708158784247204?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-14&check_out=2024-07-19&source_impression_id=p3_1718222811_P3spSQaiewNC7sSt&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/776708158784247204
Gulshan,https://www.airbnb.com/rooms/1139215032167920928?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1888608385&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222811_P3LRZZC5ABIlZZGZ&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/1139215032167920928
Gulshan,https://www.airbnb.com/rooms/1165198140307034738?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-28&check_out=2024-07-03&source_impression_id=p3_1718222811_P3V3zynhuJxwsi1G&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/1165198140307034738
Gulshan,https://www.airbnb.com/rooms/41253106?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222811_P3cszGgl0Q3Z_ZeS&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/41253106
Gulshan,https://www.airbnb.com/rooms/9699327?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222811_P3IrIlrNIzeHZKpn&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/9699327
Gulshan,https://www.airbnb.com/rooms/52149231?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222811_P3c9YXPNWiX35359&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/52149231
Gulshan,https://www.airbnb.com/rooms/723871146169525229?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222811_P3Rbp_4t-SvznEr0&previous_page_section_name=1000&federated_search_id=bb2e50cf-337b-46d6-9772-a17b6f9f9152,https://www.airbnb.com/rooms/723871146169525229
